branch;nbTest;maxDeep;meanDeep;line;lineEnd
1506.b;1;2;2.0;org.apache.commons.collections4.iterators.ObjectArrayListIterator;86;86
1162.e2;10;5;3.6;org.apache.commons.collections4.list.TreeList;581;586
19.l3;114;7;2.708994708994709;org.apache.commons.collections4.map.AbstractHashedMap;1173;1175
1162.e1;11;6;3.8;org.apache.commons.collections4.list.TreeList;570;589
1759.b;37;2;1.2702702702702702;org.apache.commons.collections4.functors.NOPTransformer;67;69
782.b;16;3;2.36;org.apache.commons.collections4.map.StaticBucketMap;462;474
2132.e1;1;1;1.0;org.apache.commons.collections4.bidimap.DualTreeBidiMap;374;379
3061.b;2;2;1.5;org.apache.commons.collections4.CollectionUtils;969;979
1113.l1;1;1;1.0;org.apache.commons.collections4.list.SetUniqueList;248;250
2909.b;27;3;2.4285714285714284;org.apache.commons.collections4.trie.AbstractPatriciaTrie;480;491
1288.e1;117;4;2.7024793388429753;org.apache.commons.collections4.iterators.AbstractListIteratorDecorator;41;41
68.e1;80;4;2.268292682926829;org.apache.commons.collections4.map.AbstractHashedMap;916;921
2631.t1;21;1;1.0;org.apache.commons.collections4.set.CompositeSet;112;114
2766.b;2;1;1.0;org.apache.commons.collections4.splitmap.TransformedSplitMap;144;147
1047.b;21;4;1.4782608695652173;org.apache.commons.collections4.list.FixedSizeList;107;109
2513.b;2;1;1.0;org.apache.commons.collections4.bag.UnmodifiableSortedBag;83;86
2934.e1;1;2;2.0;org.apache.commons.collections4.trie.AbstractPatriciaTrie;882;930
1822.b;2;3;2.5;org.apache.commons.collections4.functors.SwitchTransformer;59;70
1110.b;10;2;1.1;org.apache.commons.collections4.list.SetUniqueList;284;286
2258.e1;4;3;2.4;org.apache.commons.collections4.bidimap.TreeBidiMap;547;554
430.t2;2;2;2.0;org.apache.commons.collections4.map.LRUMap;249;264
3008.b;1;1;1.0;org.apache.commons.collections4.ClosureUtils;200;202
430.t1;7;2;2.0;org.apache.commons.collections4.map.LRUMap;246;280
430.t3;1;2;2.0;org.apache.commons.collections4.map.LRUMap;251;254
2054.b;257;2;1.164179104477612;org.apache.commons.collections4.bidimap.AbstractDualBidiMap;413;415
466.b;1;1;1.0;org.apache.commons.collections4.map.LinkedMap;238;240
430.t5;5;2;2.0;org.apache.commons.collections4.map.LRUMap;268;277
213.b;22;1;1.0;org.apache.commons.collections4.map.AbstractReferenceMap;568;570
797.t2;2;1;1.0;org.apache.commons.collections4.map.StaticBucketMap;409;411
797.t1;2;1;1.0;org.apache.commons.collections4.map.StaticBucketMap;406;408
1243.b;47;1;1.0;org.apache.commons.collections4.keyvalue.DefaultMapEntry;38;38
586.b;1;1;1.0;org.apache.commons.collections4.map.MultiKeyMap;764;778
1702.b;1;2;2.0;org.apache.commons.collections4.functors.ForClosure;51;59
729.b;1;1;1.0;org.apache.commons.collections4.map.SingletonMap;345;347
1174.e2;32;1;1.0;org.apache.commons.collections4.list.TreeList;1048;1061
1150.e2;1;2;2.0;org.apache.commons.collections4.list.TreeList;835;842
1879.b;8;2;2.0;org.apache.commons.collections4.comparators.ComparatorChain;250;254
1150.e3;1;2;2.0;org.apache.commons.collections4.list.TreeList;820;868
190.b;60;5;2.952054794520548;org.apache.commons.collections4.map.AbstractReferenceMap;633;635
1150.e4;1;2;2.0;org.apache.commons.collections4.list.TreeList;820;868
2938.e10;43;7;5.241379310344827;org.apache.commons.collections4.trie.AbstractPatriciaTrie;652;738
1174.e1;32;1;1.0;org.apache.commons.collections4.list.TreeList;1048;1061
544.t1;22;3;1.9090909090909092;org.apache.commons.collections4.map.ListOrderedMap;268;271
2938.e11;43;7;5.241379310344827;org.apache.commons.collections4.trie.AbstractPatriciaTrie;652;738
2938.e12;43;7;5.241379310344827;org.apache.commons.collections4.trie.AbstractPatriciaTrie;652;738
2069.t2;12;1;1.0;org.apache.commons.collections4.bidimap.AbstractDualBidiMap;372;375
2069.t1;4;1;1.0;org.apache.commons.collections4.bidimap.AbstractDualBidiMap;369;371
2069.t3;4;1;1.0;org.apache.commons.collections4.bidimap.AbstractDualBidiMap;379;382
773.t1;1;1;1.0;org.apache.commons.collections4.map.StaticBucketMap;636;639
950.e1;3;1;1.0;org.apache.commons.collections4.list.AbstractLinkedList;258;263
10.b;266;6;2.4911591355599216;org.apache.commons.collections4.map.AbstractHashedMap;1091;1093
442.t1;2;1;1.0;org.apache.commons.collections4.map.LazyMap;162;168
3088.l4;10;2;1.1;org.apache.commons.collections4.CollectionUtils;518;522
346.b;5;2;2.0;org.apache.commons.collections4.map.Flat3Map;908;914
1468.l2;1;1;1.0;org.apache.commons.collections4.iterators.ListIteratorWrapper;254;256
1522.t4;1;2;2.0;org.apache.commons.collections4.iterators.ObjectGraphIterator;144;146
1522.t2;7;2;2.0;org.apache.commons.collections4.iterators.ObjectGraphIterator;140;151
1522.t3;4;2;2.0;org.apache.commons.collections4.iterators.ObjectGraphIterator;141;143
1763.t1;2;1;1.0;org.apache.commons.collections4.functors.NonePredicate;95;97
3337.b;1;1;1.0;org.apache.commons.collections4.SetUtils;116;125
568.t1;1;1;1.0;org.apache.commons.collections4.map.MultiKeyMap;454;458
2312.l1;1;1;1.0;org.apache.commons.collections4.bidimap.TreeBidiMap;239;241
2487.e1;25;2;1.04;org.apache.commons.collections4.bag.UnmodifiableBag;58;65
3390.b;1;1;1.0;org.apache.commons.collections4.TransformerUtils;348;350
849.b;1;1;1.0;org.apache.commons.collections4.map.UnmodifiableMap;117;119
1522.t1;9;2;2.0;org.apache.commons.collections4.iterators.ObjectGraphIterator;137;139
3241.e1;1;1;1.0;org.apache.commons.collections4.MapUtils;1772;1778
2041.b;28;2;1.25;org.apache.commons.collections4.bidimap.AbstractDualBidiMap;706;708
394.s13;3;1;1.0;org.apache.commons.collections4.map.Flat3Map;1163;1163
394.s12;1;1;1.0;org.apache.commons.collections4.map.Flat3Map;1155;1155
2317.b;10;5;3.5;org.apache.commons.collections4.bidimap.TreeBidiMap;1098;1187
394.s14;2;1;1.0;org.apache.commons.collections4.map.Flat3Map;1171;1171
1264.e2;1;1;1.0;org.apache.commons.collections4.keyvalue.TiedMapEntry;99;111
1060.e1;1;3;3.0;org.apache.commons.collections4.list.LazyList;90;90
2779.b;31;4;3.212121212121212;org.apache.commons.collections4.trie.AbstractBitwiseTrie;167;170
405.t1;8;1;1.0;org.apache.commons.collections4.map.Flat3Map;586;589
67.b;115;7;2.3904109589041096;org.apache.commons.collections4.map.AbstractHashedMap;822;827
2057.t1;1;1;1.0;org.apache.commons.collections4.bidimap.AbstractDualBidiMap;466;468
1264.e1;1;1;1.0;org.apache.commons.collections4.keyvalue.TiedMapEntry;99;111
2385.e1;56;5;2.983050847457627;org.apache.commons.collections4.bag.AbstractMapBag;316;333
1626.b;5;2;2.0;org.apache.commons.collections4.functors.AnyPredicate;76;85
2385.e2;56;5;2.983050847457627;org.apache.commons.collections4.bag.AbstractMapBag;316;333
2909.e2;21;3;2.409090909090909;org.apache.commons.collections4.trie.AbstractPatriciaTrie;484;486
2385.e3;42;5;3.3777777777777778;org.apache.commons.collections4.bag.AbstractMapBag;328;331
1123.b;33;4;3.1176470588235294;org.apache.commons.collections4.list.TransformedList;175;175
2370.b;337;7;4.474299065420561;org.apache.commons.collections4.bag.AbstractMapBag;408;408
1890.t2;1;1;1.0;org.apache.commons.collections4.comparators.FixedOrderComparator;283;285
1350.b;13;6;2.92;org.apache.commons.collections4.iterators.CollatingIterator;395;402
1890.t3;2;1;1.0;org.apache.commons.collections4.comparators.FixedOrderComparator;286;294
1988.e1;8;1;1.0;org.apache.commons.collections4.collection.SynchronizedCollection;194;199
860.e1;69;1;1.0;org.apache.commons.collections4.map.UnmodifiableOrderedMap;60;67
1890.t1;2;1;1.0;org.apache.commons.collections4.comparators.FixedOrderComparator;280;282
3194.b;2;2;1.5;org.apache.commons.collections4.ListUtils;531;533
479.b;1;1;1.0;org.apache.commons.collections4.map.LinkedMap;154;156
1162.e4;10;5;4.133333333333334;org.apache.commons.collections4.list.TreeList;581;586
1162.e3;5;6;3.6363636363636362;org.apache.commons.collections4.list.TreeList;576;581
2680.l1;34;1;1.0;org.apache.commons.collections4.set.MapBackedSet;124;126
2098.b;2;1;1.0;org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapDecorator;71;73
573.b;1;1;1.0;org.apache.commons.collections4.map.MultiKeyMap;332;347
1968.b;1;1;1.0;org.apache.commons.collections4.collection.IndexedCollection;215;221
1715.b;31;4;2.838709677419355;org.apache.commons.collections4.functors.FunctorUtils;78;88
2283.e1;3;1;1.0;org.apache.commons.collections4.bidimap.TreeBidiMap;393;398
969.b;12;2;1.8571428571428572;org.apache.commons.collections4.list.AbstractLinkedList;481;484
949.l2;5;1;1.0;org.apache.commons.collections4.list.AbstractLinkedList;237;242
631.e1;2;3;3.0;org.apache.commons.collections4.map.MultiValueMap;429;450
2304.b;19;4;2.7;org.apache.commons.collections4.bidimap.TreeBidiMap;948;1004
2557.b;34;2;1.0294117647058822;org.apache.commons.collections4.queue.TransformedQueue;54;56
1572.b;2;2;2.0;org.apache.commons.collections4.iterators.TransformIterator;85;87
2414.t1;5;1;1.0;org.apache.commons.collections4.bag.CollectionBag;142;152
2414.t2;5;1;1.0;org.apache.commons.collections4.bag.CollectionBag;146;149
1154.b;46;18;6.713395638629284;org.apache.commons.collections4.list.TreeList;542;544
3076.l3;2;2;1.5;org.apache.commons.collections4.CollectionUtils;724;731
2294.b;97;5;3.7948717948717947;org.apache.commons.collections4.bidimap.TreeBidiMap;586;588
2271.e5;15;3;2.4;org.apache.commons.collections4.bidimap.TreeBidiMap;1336;1342
2271.e4;19;3;2.4210526315789473;org.apache.commons.collections4.bidimap.TreeBidiMap;1322;1350
2271.e3;21;3;2.380952380952381;org.apache.commons.collections4.bidimap.TreeBidiMap;1322;1350
950.l2;3;1;1.0;org.apache.commons.collections4.list.AbstractLinkedList;258;263
2753.b;6;4;2.625;org.apache.commons.collections4.splitmap.AbstractIterableGetMapDecorator;59;61
2271.e2;21;3;2.380952380952381;org.apache.commons.collections4.bidimap.TreeBidiMap;1322;1350
2271.e1;23;3;2.391304347826087;org.apache.commons.collections4.bidimap.TreeBidiMap;1322;1350
1813.l3;1;2;2.0;org.apache.commons.collections4.functors.SwitchClosure;102;106
3217.b;1;1;1.0;org.apache.commons.collections4.MapUtils;1739;1745
1633.e1;1;2;2.0;org.apache.commons.collections4.functors.ChainedClosure;67;82
1023.e1;33;5;3.5208333333333335;org.apache.commons.collections4.list.CursorableLinkedList;274;279
1633.e2;1;2;2.0;org.apache.commons.collections4.functors.ChainedClosure;67;82
3074.b;1;1;1.0;org.apache.commons.collections4.CollectionUtils;684;691
1287.b;357;4;2.2142857142857144;org.apache.commons.collections4.iterators.AbstractIteratorDecorator;43;45
2161.b;124;4;3.0725806451612905;org.apache.commons.collections4.bidimap.DualTreeBidiMap;125;127
1376.b;31;5;3.088235294117647;org.apache.commons.collections4.iterators.EmptyOrderedMapIterator;45;47
226.b;39;2;1.4680851063829787;org.apache.commons.collections4.map.AbstractReferenceMap;211;218
912.b;1;1;1.0;org.apache.commons.collections4.list.AbstractLinkedList;1027;1034
2832.e4;1;2;2.0;org.apache.commons.collections4.trie.AbstractPatriciaTrie;2115;2146
1835.b;7;3;1.8571428571428572;org.apache.commons.collections4.functors.TransformerClosure;71;73
491.e1;8;1;1.0;org.apache.commons.collections4.map.ListOrderedMap;627;637
2606.t2;4;6;4.625;org.apache.commons.collections4.sequence.SequencesComparator;264;268
2832.e1;1;2;2.0;org.apache.commons.collections4.trie.AbstractPatriciaTrie;2113;2149
2606.t3;6;8;5.208333333333333;org.apache.commons.collections4.sequence.SequencesComparator;269;272
491.e2;2;1;1.0;org.apache.commons.collections4.map.ListOrderedMap;627;637
2832.e3;1;2;2.0;org.apache.commons.collections4.trie.AbstractPatriciaTrie;2115;2146
2606.t1;6;8;4.862068965517241;org.apache.commons.collections4.sequence.SequencesComparator;259;279
2832.e2;1;2;2.0;org.apache.commons.collections4.trie.AbstractPatriciaTrie;2115;2146
2424.b;5;1;1.0;org.apache.commons.collections4.bag.CollectionSortedBag;124;138
2281.b;82;3;1.8795180722891567;org.apache.commons.collections4.bidimap.TreeBidiMap;415;420
2528.t1;1;1;1.0;org.apache.commons.collections4.queue.CircularFifoQueue;281;283
1692.b;1;1;1.0;org.apache.commons.collections4.functors.ExceptionTransformer;70;72
1481.e2;1;1;1.0;org.apache.commons.collections4.iterators.LoopingListIterator;107;116
2820.e3;2;3;2.0;org.apache.commons.collections4.trie.AbstractPatriciaTrie;2287;2289
1230.b;33;2;1.2857142857142858;org.apache.commons.collections4.keyvalue.AbstractMapEntryDecorator;72;77
1342.t1;1;1;1.0;org.apache.commons.collections4.iterators.ArrayListIterator;188;190
1481.e1;1;1;1.0;org.apache.commons.collections4.iterators.LoopingListIterator;107;116
2820.e1;2;3;1.6666666666666667;org.apache.commons.collections4.trie.AbstractPatriciaTrie;2276;2290
2820.e2;2;3;2.0;org.apache.commons.collections4.trie.AbstractPatriciaTrie;2285;2289
20.e2;36;2;1.1666666666666667;org.apache.commons.collections4.map.AbstractHashedMap;1186;1196
54.b;134;2;1.4827586206896552;org.apache.commons.collections4.map.AbstractHashedMap;208;210
20.e1;36;2;1.1666666666666667;org.apache.commons.collections4.map.AbstractHashedMap;1186;1196
302.b;6;1;1.0;org.apache.commons.collections4.map.DefaultedMap;200;206
1150.e1;1;2;2.0;org.apache.commons.collections4.list.TreeList;868;909
2228.b;97;7;5.522842639593908;org.apache.commons.collections4.bidimap.TreeBidiMap;1949;1951
1639.b;1;2;2.0;org.apache.commons.collections4.functors.ChainedTransformer;70;81
3380.e1;1;1;1.0;org.apache.commons.collections4.TransformerUtils;324;339
1848.b;2;2;2.0;org.apache.commons.collections4.functors.WhileClosure;54;62
239.b;28;3;2.1333333333333333;org.apache.commons.collections4.map.AbstractReferenceMap;306;308
3087.b;7;2;1.5714285714285714;org.apache.commons.collections4.CollectionUtils;1414;1416
1645.e1;1;1;1.0;org.apache.commons.collections4.functors.CloneTransformer;65;70
2899.b;146;1;1.0;org.apache.commons.collections4.trie.AbstractPatriciaTrie;69;69
2437.b;1;1;1.0;org.apache.commons.collections4.bag.PredicatedBag;101;103
1673.t1;2;1;1.0;org.apache.commons.collections4.functors.EqualPredicate;53;55
1519.b;12;13;6.385964912280702;org.apache.commons.collections4.iterators.ObjectGraphIterator;162;171
1496.b;48;2;1.0416666666666667;org.apache.commons.collections4.iterators.ObjectArrayIterator;82;82
836.b;205;3;3.0;org.apache.commons.collections4.map.UnmodifiableEntrySet;68;68
106.b;54;7;3.3214285714285716;org.apache.commons.collections4.map.AbstractLinkedMap;410;410
556.t2;1;1;1.0;org.apache.commons.collections4.map.ListOrderedMap;255;258
2500.b;25;3;2.04;org.apache.commons.collections4.bag.UnmodifiableSortedBag;72;72
364.s2;1;2;2.0;org.apache.commons.collections4.map.Flat3Map;659;659
364.s3;3;3;2.3333333333333335;org.apache.commons.collections4.map.Flat3Map;661;661
364.s4;4;3;2.25;org.apache.commons.collections4.map.Flat3Map;663;663
1837.e1;8;3;2.75;org.apache.commons.collections4.functors.TransformerPredicate;47;52
560.b;59;1;1.0;org.apache.commons.collections4.map.MultiKeyMap;109;109
1911.b;4;1;1.0;org.apache.commons.collections4.comparators.TransformingComparator;114;127
1034.b;18;1;1.0;org.apache.commons.collections4.list.FixedSizeList;97;99
3064.l1;18;4;2.56;org.apache.commons.collections4.CollectionUtils;253;255
3283.b;1;1;1.0;org.apache.commons.collections4.MapUtils;881;892
2958.e1;44;3;2.022727272727273;org.apache.commons.collections4.trie.UnmodifiableTrie;70;70
507.b;22;2;1.7272727272727273;org.apache.commons.collections4.map.ListOrderedMap;684;687
2633.b;2;1;1.0;org.apache.commons.collections4.set.CompositeSet;282;291
93.e1;2;1;1.0;org.apache.commons.collections4.map.AbstractInputCheckedMapDecorator;139;162
1167.b;2;11;7.333333333333333;org.apache.commons.collections4.list.TreeList;758;773
225.t1;2;1;1.0;org.apache.commons.collections4.map.AbstractReferenceMap;282;284
435.b;5;3;3.0;org.apache.commons.collections4.map.LRUMap;297;330
2085.b;10;2;1.5;org.apache.commons.collections4.bidimap.AbstractDualBidiMap;161;163
3150.b;2;1;1.0;org.apache.commons.collections4.IteratorUtils;460;462
2348.b;2;1;1.0;org.apache.commons.collections4.bidimap.UnmodifiableSortedBidiMap;95;97
2937.t1;88;5;3.2718446601941746;org.apache.commons.collections4.trie.AbstractPatriciaTrie;611;613
884.b;1;1;1.0;org.apache.commons.collections4.map.UnmodifiableSortedMap;110;112
1239.t1;1;1;1.0;org.apache.commons.collections4.keyvalue.DefaultKeyValue;98;100
19.t2;2;2;2.0;org.apache.commons.collections4.map.AbstractHashedMap;1167;1169
1404.b;3;1;1.0;org.apache.commons.collections4.iterators.FilterIterator;162;166
123.t1;1;1;1.0;org.apache.commons.collections4.map.AbstractLinkedMap;366;368
1.t1;140;2;1.2285714285714286;org.apache.commons.collections4.map.AbstractHashedMap;853;857
364.b;4;3;2.25;org.apache.commons.collections4.map.Flat3Map;654;667
19.t1;12;2;2.0;org.apache.commons.collections4.map.AbstractHashedMap;1163;1165
2411.b;6;1;1.0;org.apache.commons.collections4.bag.CollectionBag;92;100
2664.b;10;2;1.4;org.apache.commons.collections4.set.ListOrderedSet;211;217
2565.t1;2;2;1.5;org.apache.commons.collections4.queue.UnmodifiableQueue;55;59
1657.b;6;3;1.8333333333333333;org.apache.commons.collections4.functors.ConstantFactory;76;78
2811.t1;1;1;1.0;org.apache.commons.collections4.trie.AbstractPatriciaTrie;2356;2358
631.b;2;3;3.0;org.apache.commons.collections4.map.MultiValueMap;429;450
1198.b;47;4;2.632183908045977;org.apache.commons.collections4.list.TreeList;286;290
2078.e1;8;2;1.375;org.apache.commons.collections4.bidimap.AbstractDualBidiMap;186;193
3163.b;1;1;1.0;org.apache.commons.collections4.IteratorUtils;412;414
671.l1;3;2;2.0;org.apache.commons.collections4.map.PredicatedMap;100;103
1973.b;25;3;2.888888888888889;org.apache.commons.collections4.collection.IndexedCollection;197;202
2797.b;41;2;1.1951219512195121;org.apache.commons.collections4.trie.AbstractPatriciaTrie;1405;1412
2069.l4;12;1;1.0;org.apache.commons.collections4.bidimap.AbstractDualBidiMap;378;383
41.b;32;2;1.125;org.apache.commons.collections4.map.AbstractHashedMap;98;98
1964.l1;2;1;1.0;org.apache.commons.collections4.collection.IndexedCollection;128;130
168.b;535;5;1.4751381215469612;org.apache.commons.collections4.map.AbstractMapDecorator;89;91
3030.b;1;5;5.0;org.apache.commons.collections4.CollectionUtils;583;590
72.t1;39;4;2.5238095238095237;org.apache.commons.collections4.map.AbstractHashedMap;756;758
237.t1;79;3;1.0493827160493827;org.apache.commons.collections4.map.AbstractReferenceMap;319;321
2468.b;22;4;3.090909090909091;org.apache.commons.collections4.bag.TransformedBag;109;111
497.b;2;1;1.0;org.apache.commons.collections4.map.ListOrderedMap;640;642
2501.e1;25;2;1.04;org.apache.commons.collections4.bag.UnmodifiableSortedBag;58;63
1600.b;8;1;1.0;org.apache.commons.collections4.iterators.UnmodifiableMapIterator;74;76
1468.e1;3;2;1.6666666666666667;org.apache.commons.collections4.iterators.ListIteratorWrapper;251;260
3306.b;4;2;1.5;org.apache.commons.collections4.PredicateUtils;451;453
1240.t1;1;1;1.0;org.apache.commons.collections4.keyvalue.DefaultKeyValue;127;129
1141.b;39;2;2.0;org.apache.commons.collections4.list.TreeList;346;346
